week,status,age,deaths,pop,percent_of_age_group,mortality_rate_per_100k
2021-01-08,Unvaccinated,10-59,359.0,26822400.0,98.1,1.3
2021-01-08,Unvaccinated,60-69,517.0,5138033.0,98.1,10.1
2021-01-08,Unvaccinated,70-79,1132.0,4153114.0,97.3,27.3
2021-01-08,Unvaccinated,80+,2787.0,1686889.0,67.0,165.2
2021-01-15,Unvaccinated,10-59,398.0,26382353.0,96.5,1.5
2021-01-15,Unvaccinated,60-69,672.0,5055105.0,96.5,13.3
2021-01-15,Unvaccinated,70-79,1433.0,3926823.0,92.0,36.5
2021-01-15,Unvaccinated,80+,3598.0,1142632.0,45.4,314.9
2021-01-22,Unvaccinated,10-59,450.0,25883217.0,94.7,1.7
2021-01-22,Unvaccinated,60-69,713.0,4942033.0,94.3,14.4
2021-01-22,Unvaccinated,70-79,1615.0,3327994.0,78.0,48.5
2021-01-22,Unvaccinated,80+,3802.0,578036.0,23.0,657.7
2021-01-29,Unvaccinated,10-59,374.0,25426420.0,93.0,1.5
2021-01-29,Unvaccinated,60-69,632.0,4780698.0,91.2,13.2
2021-01-29,Unvaccinated,70-79,1278.0,2352075.0,55.1,54.3
2021-01-29,Unvaccinated,80+,2893.0,331261.0,13.2,873.3
2021-02-05,Unvaccinated,10-59,340.0,25027294.0,91.6,1.4
2021-02-05,Unvaccinated,60-69,492.0,4486033.0,85.6,11.0
2021-02-05,Unvaccinated,70-79,926.0,1240283.0,29.1,74.7
2021-02-05,Unvaccinated,80+,1774.0,241748.0,9.6,733.8
2021-02-12,Unvaccinated,10-59,247.0,24560946.0,89.9,1.0
2021-02-12,Unvaccinated,60-69,445.0,3675747.0,70.1,12.1
2021-02-12,Unvaccinated,70-79,632.0,513844.0,12.0,123.0
2021-02-12,Unvaccinated,80+,1106.0,181000.0,7.2,611.0
2021-02-19,Unvaccinated,10-59,193.0,23836449.0,87.2,0.8
2021-02-19,Unvaccinated,60-69,323.0,2627747.0,50.1,12.3
2021-02-19,Unvaccinated,70-79,440.0,397190.0,9.3,110.8
2021-02-19,Unvaccinated,80+,679.0,153728.0,6.1,441.7
2021-02-26,Unvaccinated,10-59,131.0,22789777.0,83.4,0.6
2021-02-26,Unvaccinated,60-69,225.0,1955358.0,37.3,11.5
2021-02-26,Unvaccinated,70-79,259.0,365982.0,8.6,70.8
2021-02-26,Unvaccinated,80+,387.0,138628.0,5.5,279.2
